Comment,Error,ToxicityScore,IsToxic
"Let's reverse the rolls! Black racist cops in rich white communities.(but you can't prove there racist) When a white man gets pissed off at this intolerable condition. We unload several clips of high caliber ammo at point blank range for his audacity at questioning authority. All Americans need to be on full alert of this elitist agenda to set presidents of questioning authority. The elitist upper-class is the problem. Prison culture CIA drug Cartels. Exporting jobs and importing cheap labor, While the elitist get bailed out and support this corrupt system. We can turn this around when we c get past the race issue the Govt. incites to divide the working class, but you can hardly call it a working class because the Govt put everyone out of work. We are more of a homeless class. Let us not for get Western history and the role big money plays in this clusterfuck designed to destroy a Nation that is Destroyed at this point. We can get it back, ask me how.",,0.47886392,False
This moron is talking about being peaceful?  Their burning the nation's flag idiot.  Even though that's what you are suppose to do when it's old so they have no knowledge.  They are babies making noise. ,,0.8403191,True
" This is a CIA agent provocateur operative to kick-start the riots of the New American Civil War. He's not African American but his rehearsed ""Ebonics"" is transparent.",,0.37751234,False
Can someone shoot this black idiot too? That would make me giggle inside :),,0.90451443,True
You people are sick! This man is speaking the truth and y'all are just mad. Trying to justify why a young boy who did nothing was shot and killed smh. Y'all are the devil and a disease to this earth! I'll be glad when the sun burns all your asses into extinction and we can have our planet back! Half animal half devil cave beasts!!! ,,0.8778702,True
The world is changing im mad at the police too but id be dam if isis gonna come in here thats when its time to kill these faucks,,0.82048255,True
"CNN is propaganda for the most part, and people let them hear it in Ferguson too.",,0.05725329,False
"What a waste of time talking to that idiot. ""You know what Im sayin."" ""I'll believe what I want to believe.""- Yup- hell with facts or evidence. Loser.",,0.8696708,True
"News fucktards...........puppet players,,,,,all they are paid liars ",,0.8629672,True
Bassem has the right to express himself....we have freedom of expression.....We all have that right....Its an amendment of the Constitution.....I dont think CNN is that competent after all.,,0.14082454,False
"does this guy riot before or after work? Orrrr, let me guess he fucks off all day doing nothing.",,0.73663366,True
Mr. Masri is 100% right couldn't say it any better myself.,,0.015896067,False
Can anyone tell me why it is racist if a white man shoots a black man? Is it not racist when black man shoots a white man? Why do these cases turn instantly into racist ones it makes no sense.,,0.4269174,False
Racial profiling and police intimidation? He robbed a store and got killed as a result. Fucking excuses man. Black people shouldn't have to get arrested when they commit a strong arm robbery. When black people get violent they shouldn't have to fear getting put down like an animal. He actually said we shouldn't have to worry about warrants. lol. Fucking piece of human garbage.,,0.9061063,True
Wrong Mother Fucker. No shoot to apprehend,,0.9288007,True
"Black and white crimes seems to be big topic in us after Ferguson case. I just came here to brag about Finnish cops that used firearm 6 times last year, 2 time towards human, 2 times to warn 2 times to kill wounded animal. 5 million ppl here and 0,5 gun per capita.",,0.31132057,False
"and the heading reads, When the protesters take it too far",,0.024967449,False
This Muslim man does not have anything in mind of peace. He wants to stir up dissonance and trouble among Americans by using racist accusations . THAT IS HIS MAN GOAL.,,0.509388,True
"Add another imbecile to the bunch, reporter is a incompetent bastard",,0.8988238,True
This interviewer is right. This guy should show some respect to the paramilitary police that are killing and getting away with it. Ha!,,0.2854971,False
You all are some dumb as people,,0.85173553,True
bassem I think walmart is hiring for the holidays. get a job loser!!!,,0.681338,True
Teen faces life in prison for pot brownies. 90 year old man gets arrested for feeding the poor. Police officer is set free with no charges whatsoever for killing a teenager. Don't you people see how wrong this is? ,,0.25727063,False
"""you know what I'm sayin""... wow",,0.024731753,False
"YEah  You are right 1 white shot a  black all hell break  lose , black shot black no protest maybe if they start doing  protest on black shotting black , you can buy in thier story ,",,0.65996873,True
"Lets Steal from a convenience store then lets go and punch a cop in the face and get shot 6 times, then lets get all the black people and white apologists to run around the street setting buildings on fire, fucking dirty gutter rats all living on welfare and causing violence , just look where the rest of black people live... on the dirties Ebola plague ridden continent, lucky white countries can come over and cure their dumb asses.",,0.8629672,True
I'm with this dude fuck the punk police ,,0.911035,True
What a stupid arab. Police shoot to apprehend? Lmao That's not how it works when they are being attacked!,,0.8403191,True
5:09 plain n simple truth,,0.036162965,False
Lmfao why is this dude taking like that??? -_\ I hear him talking but I don't know what he's saying!  Smh,,0.23162876,False
"I do understand their anger, but war is not the answer!",,0.102626406,False
Iz didn't do nuffinz!,,0.04711028,False
"What an ignorant coward, full of emotion, estrogen and apathy. And where the hell did you come from? Fuckin racially ambiguous blackwashed loudmouth. They really chose a pathetic man to interview. ",,0.9288007,True
"That motherfucker was angry,and I understand why",,0.93383175,True
Let's get this straight and present the facts as the mass media should have from the beginning. 18 yr old (by all legal aspects an adult) robs a convince store. The criminal later flees the seen and is aprehended by the police. Resists arrest and altercation occurs between the two. The police (as in every case similar to this uses force). Criminal is killed. The killing goes to court. A randomly selected jury views all the evidence and hears out all witnesses which pertain to the case.  Radom jury reaches unanimous verdict of not guilty. Im sorry protestors I can't here over all this DEMOCRACY!,,0.19893374,False
Do any of these protestors work for a living??  where do they get the (time) to do all this....,,0.15490346,False
"If people would obey the law, like normal human beings. This would never happen. <- WINNER",,0.037577134,False
No indictment...moving right along.,,0.015267765,False
If you act like animals you get treated like animals,,0.39842087,False
 Michael Smerconish + Hack. ,,0.14950264,False
"Sure...they totally looked at FACTUAL evidence during that trial...

More like special treatment. BUT HEY, we all knew that was going to happen, didn't we?",,0.017843807,False
You tellin me if he did in fact steal swisher sweets is the value of his life...Just admit you all are racist quit being a bunch of FAGGOTT bitches ,,0.9209984,True
"Proof Blacks aren't victims:
1. Statistically Cops kill more whites than blacks, yet whites see them as necessary because they save more lives than they cost, while places like Ferguson lose their minds.
2. Statistically 93% of murdered blacks are killed by other blacks, with whites consisting of 3% of the murderers and 4% being the other races.
3. Whites were enslaved by blacks first, and for over 150 years. This was when Europeans(the same race that started America and later enslaved Africans) began searching North Africa to establish trade of goods between natives. From the 1520s to the late 1600s whites were enslaved first. Later the tables turned. This boys and girls is called 'Karma.'
4. Statistically over 50% of murders in the US alone are from Blacks, despite them making up only 14.1% of the entire US population, while despite whites make up 63% of the US population they only make up 46% of the murders.
5. Whites make up 38% of welfare recipients with blacks making up 39%. This doesn't seem extreme until you realize that 39%(blacks) consists of that 14.1%, whith that 38%(whites) making up 63% of the US. Meaning each individual black person is about 5 times as likely than whites to use welfare.",,0.44002727,False
"White man can't finish his sentence
America needs to wake up!!the truth of murder is there!",,0.44393396,False
I'll be sure to avoid getting in this guy's taxi cab.,,0.054284602,False
"FUCK MEDIA 
Bassem was right find something real to investigate. You're just exaggerating because you want more views and more MONEY.

FUCK YOU SELFISH FUCKS

These people are DISGUSTING. I don't know how they bare with their NASTY selves.",,0.9563754,True
CNN youse guys going too far I'll tell you what you doing so that bad is going to happen very bad it's all going to benefit you I don't care how much money you have Ellen and better for you to be like all the rest was be careful what you put out there you put Russia in between this be careful we have kids,,0.23451406,False
this guy here he needs to grow up.,,0.24924077,False
"Shoot to apprehend? Easier said than done.. When the evidence was presented, Michael brown was still attackin darren after he was shot twice.... People have this misconception, like in the movies, that one gun shot anywhere to the body, will disable an attacker. This is a false belief.. There are cases of people still attacking or running after they've been shot 2-3 times. For god sake, 50 cent was shot 9 times and he's alive... When you're being attacked by a 6 ft 3 200 somthing pound person, and you're on your back, it's hard to say I""m just goin to shoot to apprehend. Had michael brown copnducted himself like a gentleman, this wouldn't have happened. He was an aggresive piece of shit, and this muslim shit head isn't any better. He's filled with rage and doesn't have the answer for anything. Progression comes from tolerance not violence.",,0.2854903,False
"It's not about just Brown, it's about daily killings of non-whites by white cops and that's a reality.",,0.44002727,False
"How was this guy hired?
What an idiot",,0.8696708,True
This guy is a moron.,,0.88599813,True
Cnn...so out of touch..close up idiots.. people are watching for the comedy of reporting.lol,,0.7675452,True
"Bassem Masri is a criminal, a thug and a psychopath. He has no credibility, and no humanity. He needs to be locked in a jail cell. Time for the rubber-room and straight-jacket for Bassem. Get his intellectually dishonest butt out of the community. ",,0.7252971,True
